user_id,ou_id,ou_title,user_tenure_months,user_employment_status_id,manager_id,training_object_id,training_title,training_type,progress_percent,is_overdue,is_completed,transcript_status_id,assigned_dt,due_dt,completed_dt,reg_num
2,139,New Users,N,N,N,15f7178a-7e7b-453f-8aa3-945a9afc353f,15F7178A-7E7B-453F-8AA3-945A9AFC353F,SLCH,,1,0,65538,2024-09-13 16:31:03.767+05:30,2024-09-21 04:29:00+05:30,N,1
2,139,New Users,N,N,N,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,CRSE,,0,0,16,2025-09-12 00:06:07.907+05:30,N,N,1
2,139,New Users,N,N,N,3bc886c0-2e66-451f-a43e-d72d6cfb0ca5,3BC886C0-2E66-451F-A43E-D72D6CFB0CA5,PRGM,,1,0,65540,2025-04-12 22:10:24.42+05:30,2025-05-02 23:59:00+05:30,N,1
3,2764,OnBoarding Group 2024,N,N,N,b25662b8-15d4-4328-a602-17738df96f11,ESP Cable Field Splice Train The Trainer,EVNT,,1,0,65540,2026-01-22 02:10:00.673+05:30,2026-02-21 13:29:00+05:30,N,1
3,2764,OnBoarding Group 2024,N,N,N,01ea5674-c3cf-421f-9123-18c154a1afd9,Test - creating a material,MTRL,,1,0,65552,2026-01-22 02:03:50.683+05:30,2026-02-21 13:29:00+05:30,N,1
3,2764,OnBoarding Group 2024,N,N,N,439d53e7-9648-49ff-8f2f-19720ca6dde5,Talent Management: Basics,CRSE,,1,0,65552,2026-01-22 02:03:51.637+05:30,2026-02-21 13:29:00+05:30,N,1
3,2764,OnBoarding Group 2024,N,N,N,21e9c852-9cf0-4f50-a362-1e7d506d6084,New Hire Module for Training,EVNT,,1,0,65540,2026-01-22 02:05:39+05:30,2026-02-21 13:29:00+05:30,N,1
3,2764,OnBoarding Group 2024,N,N,N,b42d13a5-f7dc-40d1-8a52-5e6b572604df,Product Spotlight - Email Administration,CRSE,,1,0,65552,2026-03-31 01:05:30.647+05:30,2026-04-30 12:29:00+05:30,N,1
3,2764,OnBoarding Group 2024,N,N,N,8e9b17ec-1ffc-45dd-8e62-6733eee7194d,Customer Experience (CX) Foundations,EXTL,,0,0,16,2026-03-31 01:07:59.077+05:30,N,N,1
3,2764,OnBoarding Group 2024,N,N,N,e5c8ba8f-9b6d-4054-8ace-75cddec2cf9a,Advocating for Yourself,PRGM,0.0,1,0,65568,2026-03-31 01:07:57.9+05:30,2026-04-30 12:29:00+05:30,N,1
3,2764,OnBoarding Group 2024,N,N,N,15f7178a-7e7b-453f-8aa3-945a9afc353f,15F7178A-7E7B-453F-8AA3-945A9AFC353F,SLCH,,1,0,65538,2024-09-13 16:31:45.557+05:30,2024-09-21 04:29:00+05:30,N,1
3,2764,OnBoarding Group 2024,N,N,N,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,CRSE,,0,0,16,2025-09-12 00:02:38.453+05:30,N,N,1
3,2764,OnBoarding Group 2024,N,N,N,70b79284-ac31-40b7-8f0f-c78a79169ad5,70B79284-AC31-40B7-8F0F-C78A79169AD5,FILE,,0,0,16,2026-03-31 01:07:58.553+05:30,N,N,1
3,2764,OnBoarding Group 2024,N,N,N,3bc886c0-2e66-451f-a43e-d72d6cfb0ca5,3BC886C0-2E66-451F-A43E-D72D6CFB0CA5,PRGM,,1,0,65540,2025-04-12 22:18:34.953+05:30,2025-05-02 23:59:00+05:30,N,1
4,,,N,N,N,38e7e0bf-3e14-47c3-9fcf-10ac6b40e82c,Moving and Getting Around in Excel 2010,CRSE,,0,0,32,2013-04-13 01:41:47.747+05:30,N,N,1
4,,,N,N,N,ba08055e-d950-4f85-ba04-116b36869b59,Conflicts of Interest in the Workplace,CRSE,,0,0,16,2012-12-04 20:20:53.9+05:30,N,N,1
4,,,N,N,N,75401aa4-5b1c-4429-bdf3-17c375fedcaf,Core Product - Level 1 Exam,TEST,,0,0,16,2013-05-10 02:39:30.127+05:30,N,N,1
4,,,N,N,N,acd5b94e-207e-4c98-a1a9-1eb705cf2af3,Time Management: Analyzing Your Use of Time,CRSE,,0,0,32,2013-07-18 21:16:59.207+05:30,N,N,1
4,,,N,N,N,5b615550-d78a-4560-a8a2-250c67e1c4f9,Company Handbook Acknowledgement,FORM,,0,0,2097152,2012-12-04 20:20:53.667+05:30,N,N,1
4,,,N,N,N,2597a850-fa57-421f-aa10-3ef7294392d4,Blue Ocean Strategy: How to Create Uncontested Market Space and Make Competition Irrelevant,MTRL,,0,1,64,2014-06-19 05:30:12.047+05:30,N,2014-06-19 05:30:30.45+05:30,1
4,,,N,N,N,97fea921-8773-42d3-a3dd-790a3940f029,New Employee Seminar,EXTL,,0,1,64,2012-12-04 20:20:53.743+05:30,N,2012-12-04 20:36:10.283+05:30,1
4,,,N,N,N,4f51fcb7-cd02-410d-8a78-933e517efe97,4F51FCB7-CD02-410D-8A78-933E517EFE97,EXTL,,0,1,64,2012-12-04 20:08:48.42+05:30,N,2012-12-04 20:27:32.793+05:30,1
4,,,N,N,N,75802064-dcb0-4b82-a6f7-ae4e580951c9,75802064-DCB0-4B82-A6F7-AE4E580951C9,PRGM,20.0,0,0,32,2012-12-04 20:20:48.977+05:30,N,N,1
4,,,N,N,N,1e73eb1e-9795-4f33-87ce-b14180c35861,1E73EB1E-9795-4F33-87CE-B14180C35861,CRSE,,0,0,16,2012-12-04 20:20:52.917+05:30,N,N,1
4,,,N,N,N,f83b1da8-640c-4da9-afaa-b52e63ee92ca,F83B1DA8-640C-4DA9-AFAA-B52E63EE92CA,LIBR,,0,0,32,2012-10-24 03:41:15.553+05:30,N,N,1
4,,,N,N,N,a3781f21-6c42-4ee7-8fc4-cd460761dbf4,A3781F21-6C42-4EE7-8FC4-CD460761DBF4,CRSE,0.0,0,0,32,2012-10-24 03:42:14.96+05:30,N,N,1
4,,,N,N,N,cfedb925-106e-4ad2-aea7-d56320205cd4,CFEDB925-106E-4AD2-AEA7-D56320205CD4,FORM,,0,0,2097152,2012-12-04 20:20:54.057+05:30,N,N,1
5,333,4 Week New Hire Survey,N,N,1,b25662b8-15d4-4328-a602-17738df96f11,ESP Cable Field Splice Train The Trainer,EVNT,,1,0,65540,2026-01-22 02:09:53.42+05:30,2026-02-21 13:29:00+05:30,N,1
5,333,4 Week New Hire Survey,N,N,1,01ea5674-c3cf-421f-9123-18c154a1afd9,Test - creating a material,MTRL,,1,0,65552,2026-01-22 02:10:53.873+05:30,2026-02-21 13:29:00+05:30,N,1
5,333,4 Week New Hire Survey,N,N,1,439d53e7-9648-49ff-8f2f-19720ca6dde5,Talent Management: Basics,CRSE,,1,0,65552,2026-01-22 02:10:59.473+05:30,2026-02-21 13:29:00+05:30,N,1
5,333,4 Week New Hire Survey,N,N,1,de8b64be-31a3-4475-82d1-1c5f3964ad66,new test,PRGM,0.0,0,0,16,2025-04-30 14:37:10.293+05:30,N,N,1
5,333,4 Week New Hire Survey,N,N,1,21e9c852-9cf0-4f50-a362-1e7d506d6084,New Hire Module for Training,EVNT,,1,0,65540,2026-01-22 02:10:47.927+05:30,2026-02-21 13:29:00+05:30,N,1
5,333,4 Week New Hire Survey,N,N,1,ab4f5f57-0a37-4aaf-9865-3f32693f756e,video 2,VID ,,0,0,16,2024-04-15 17:16:06.27+05:30,N,N,1
5,333,4 Week New Hire Survey,N,N,1,04313a0a-4bfe-4177-aee3-43f5331e1564,Test w Krakowie,EVNT,,0,0,4,2024-09-11 04:30:38.9+05:30,N,N,1
5,333,4 Week New Hire Survey,N,N,1,b42d13a5-f7dc-40d1-8a52-5e6b572604df,Product Spotlight - Email Administration,CRSE,,1,0,65552,2026-03-31 01:00:34.647+05:30,2026-04-30 12:29:00+05:30,N,1
5,333,4 Week New Hire Survey,N,N,1,b8634bd1-ceb3-4530-9471-894946bd9650,B8634BD1-CEB3-4530-9471-894946BD9650,MTRL,,0,0,1099511627776,2025-02-05 22:16:31.21+05:30,N,N,1
5,333,4 Week New Hire Survey,N,N,1,15f7178a-7e7b-453f-8aa3-945a9afc353f,15F7178A-7E7B-453F-8AA3-945A9AFC353F,SLCH,,1,0,65538,2024-09-13 16:31:41.307+05:30,2024-09-21 04:29:00+05:30,N,1
5,333,4 Week New Hire Survey,N,N,1,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,06347f8b-c455-42c9-bf07-a3f8b0ef9f50,CRSE,,0,0,16,2025-09-12 00:06:10.267+05:30,N,N,1
5,333,4 Week New Hire Survey,N,N,1,03476ef7-90fa-405a-a20b-b27b08fb54df,03476EF7-90FA-405A-A20B-B27B08FB54DF,PRGM,0.0,0,0,16,2024-06-05 14:56:41.627+05:30,N,N,1
5,333,4 Week New Hire Survey,N,N,1,3bc886c0-2e66-451f-a43e-d72d6cfb0ca5,3BC886C0-2E66-451F-A43E-D72D6CFB0CA5,PRGM,,1,0,65540,2025-04-12 22:18:38.08+05:30,2025-05-02 23:59:00+05:30,N,1
6,141,All Managers,N,N,N,0fc9106c-d3f6-45b9-9a45-00ffff664e32,SV Training Part6(Video),VID ,,0,0,16,2026-03-13 23:59:04.237+05:30,N,N,1
